PersonalChecking,,02/24/2020,,DOM ENERGYVA     UTILITY    ***********0353,Utilities,-82.54
PersonalChecking,,02/20/2020,,TENABLE  INC     DIRECT DEP ***********8RUH,Paychecks/Salary,--6471.36
PersonalChecking,,02/18/2020,,CHASE CREDIT CRD AUTOPAY    ***********6663,Credit Card Payments,-2042.06
PersonalChecking,,02/18/2020,,FID BKG SVC LLC  MONEYLINE  ***********BTB5,Investment Income,--7435.42
PersonalChecking,,02/18/2020,,FID BKG SVC LLC  MONEYLINE  ***********BTF6,Investment Income,--404.53
PersonalChecking,,02/14/2020,,INTEREST PAID,Interest,--0.26
PersonalChecking,,02/13/2020,,USAA FUNDS TRANSFER DB,Christie%20-%20Assistance,-50
PersonalChecking,,02/13/2020,,ALLY BANK        TRANSFER   ***********8534,Transfers,--25687.5
PersonalChecking,,02/12/2020,,USAA FUNDS TRANSFER DB,Christie%20-%20Assistance,-175
PersonalChecking,,02/10/2020,Capital One Rewards,DEPOSIT@MOBILE,Rewards,--56.76
PersonalChecking,,02/06/2020,,TENABLE  INC     DIRECT DEP ***********4RUH,Paychecks/Salary,--3354.22
PersonalChecking,,02/04/2020,,CHECK # 0000001097,Rent,-2423.17
PersonalChecking,,01/23/2020,,TENABLE NETW2289 PAYMENT    ***********HIOU,Paychecks/Salary,--2239.71
PersonalChecking,,01/21/2020,,TENABLE  INC     DIRECT DEP ***********9RUH,Paychecks/Salary,--2827.57
PersonalChecking,,01/16/2020,,INTEREST PAID,Interest,--0.24
PersonalChecking,,01/15/2020,,CHASE CREDIT CRD AUTOPAY    ***********8803,Credit Card Payments,-2569.05
PersonalChecking,,01/13/2020,,USAA FUNDS TRANSFER DB,Christie%20-%20Assistance,-90
PersonalChecking,,01/07/2020,,DOM ENERGYVA     UTILITY    ***********2918,Utilities,-63.28
PersonalChecking,,01/06/2020,,CHECK # 0000001096,Rent,-2419.25
PersonalChecking,,01/06/2020,Coaching Meetup -,VENMO            PAYMENT    ***********1348,Training,-5
PersonalChecking,,01/06/2020,,TENABLE  INC     DIRECT DEP ***********4RUH,Paychecks/Salary,--2829.96
PersonalChecking,,01/02/2020,Registration,VIRGINIA DMV ECK VEHICLE    ***********9416,Automotive Expenses,-112.5
